epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1633.43,1.29788,1.68439,1.51288,0.28918,0.43162,0.3237,0.17529,1.40499,2.62022,1.92883,0.000742625,0.000742625,0.000742625
43,1671.44,1.22335,1.5388,1.39481,0.4316,0.41863,0.39045,0.20113,1.46726,2.46566,2.11731,0.00073025,0.00073025,0.00073025
44,1709.95,1.26954,1.60844,1.42641,0.42992,0.52928,0.4915,0.22031,1.33623,2.28354,2.02679,0.000717875,0.000717875,0.000717875
45,1747.91,1.25666,1.53371,1.41945,0.54888,0.40519,0.43777,0.24898,1.33145,2.13914,1.91695,0.0007055,0.0007055,0.0007055
46,1785.84,1.18265,1.48185,1.37696,0.51017,0.41898,0.41294,0.25014,1.27709,2.072,1.86501,0.000693125,0.000693125,0.000693125
47,1823.72,1.22776,1.53544,1.43876,0.43046,0.5362,0.4403,0.27367,1.27708,1.95581,1.88517,0.00068075,0.00068075,0.00068075
48,1861.33,1.22469,1.57644,1.40706,0.4331,0.59856,0.50263,0.29239,1.2461,2.13422,1.91533,0.000668375,0.000668375,0.000668375
49,1898.67,1.20486,1.55687,1.39843,0.47759,0.62712,0.5166,0.28728,1.30796,1.91359,1.97615,0.000656,0.000656,0.000656
50,1936.76,1.20751,1.5058,1.41501,0.69681,0.47601,0.53429,0.31345,1.30387,1.92559,1.97726,0.000643625,0.000643625,0.000643625
51,1974.51,1.16335,1.56781,1.41188,0.61253,0.4719,0.48844,0.26198,1.34325,2.02798,1.97127,0.00063125,0.00063125,0.00063125
52,2012.16,1.215,1.50112,1.43124,0.43113,0.58938,0.46154,0.26038,1.33079,2.01089,1.99634,0.000618875,0.000618875,0.000618875
53,2049.43,1.21374,1.56256,1.44139,0.44233,0.45614,0.44713,0.243,1.3385,2.09919,2.00871,0.0006065,0.0006065,0.0006065
54,2086.72,1.21987,1.46813,1.39169,0.47169,0.45054,0.4583,0.27741,1.2249,1.92443,1.82227,0.000594125,0.000594125,0.000594125
55,2124.15,1.05391,1.36002,1.30987,0.44803,0.60748,0.52368,0.3224,1.21587,1.87562,1.81313,0.00058175,0.00058175,0.00058175
56,2161.53,1.16498,1.49775,1.47266,0.4543,0.54938,0.46135,0.26672,1.30627,1.97592,1.94955,0.000569375,0.000569375,0.000569375
57,2199.52,1.13784,1.43019,1.36542,0.4746,0.51752,0.48739,0.24922,1.39408,1.98265,2.10557,0.000557,0.000557,0.000557
58,2237.72,1.15894,1.38891,1.37191,0.52288,0.54624,0.50716,0.26403,1.38892,1.88401,2.05354,0.000544625,0.000544625,0.000544625
59,2275.92,1.19261,1.35702,1.38258,0.45781,0.54113,0.48481,0.26453,1.33627,1.84645,1.90519,0.00053225,0.00053225,0.00053225
60,2313.82,1.14674,1.38166,1.34939,0.4719,0.48634,0.43211,0.22325,1.41764,1.93417,1.96771,0.000519875,0.000519875,0.000519875
